,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"@abeycity25 @omolayoomowunmi @hamzatmohd1 @FerdinandObiora @ShehuSani If you don't understand the concept of Hijab in Islam, then meet me so I can explain. Every Muslim girl child outside there has the right to wear it regardless of the environment they find themselves. Take it or leave it.",,AliyuAbulmalik1,0,0,2021-03-30 20:44:14
1,"Things I’ve learned from Democrats today: Any dog in a new environment around unfamiliar people will bite because it’s natural NOT newsworthy.

Apparently I have the only dog on Earth who has a strong desire to lick every stranger in the face in new environments. #BlackLabsMatter https://t.co/pgFArz4zz9","God’s Country, GA ",RhubarbBrown,0,0,2021-03-30 20:44:14
2,@cvdall And the dog's not wrong! That is a high-security environment and no doubt he's picking up on that.,"Here and there, hither and yon (NYC/Paris)heidi dot n dot moore at gmail dot com",moorehn,0,0,2021-03-30 20:44:09
3,".@vinniewall2 ""From a mental health perspective, I’ve found the claustrophobic environment of a hospital hard over the past year. You can spend hours donned in PPE with foggy goggles. I really value the headspace a bicycle lends to you on a commute, the airy moments of wind on","Dublin City, Ireland",MikeMcKillen,0,0,2021-03-30 20:44:04
4,"@savagediana I went from filling up (48L) every 9 days to just 5 times from April 2020 to now. Must be good for the environment.

Oddly last October I bought a newish car 🤷‍♂️, which has been mostly sitting on my driveway, except weekends when I do a food drop for my mum.",,pratab_a,0,0,2021-03-30 20:44:02
5,"I prefer not to expect from people, I don’t even prefer fighting for myself anymore. I try to keep silent just to provide them and myself peace. I’ve even stopped altering environment according to me, I’d choose walking out with grace. Period.",,Jethanand_Sooth,0,0,2021-03-30 20:44:01
6,Last week there were 3 flights retuning people to Haiti  illustrating either ignorance or disregard for the environment there as well as the  inequality and capricious nature of the virtual wall of Title 42. @WitnessBorder @GuerlineMJozef https://t.co/wWP0z6i7w3,,thcartwright,0,0,2021-03-30 20:44:01
7,"@solomonmissouri IMHO Major is responding to leftover spirits in his environment. Did we ever find out if the WH had a thorough saging, anointing and casting out of demons from the former guy and his ilk? 🤔",SFO • HNL • ✈️ ,revmisscharli,0,0,2021-03-30 20:44:00
8,It’s Excellent news Denise! No AGL terminal at Crib Point. Thanks to Victoria’s Andrew’s Labor government and planning minister Richard Wynn for putting Western Port Bay environment first #auspol #vicpol https://t.co/mY2VzS9pxb,"Melbourne, Victoria",palaceletters,0,0,2021-03-30 20:44:00
9,I have been temporarily reassigned today from my division at UPMC. ###inclusive environment. All woman are welcome at upmc and should be anywhere! #thankTF for the opportunity to know and be who I am and be courageous versus being a coward! I’ve processed it. https://t.co/2eNiAut2py,,LeslieRigglema2,0,0,2021-03-30 20:43:58
10,@Brentwood_BC Well done!!! Really pushing the recycling agenda!!! Amazing for the local environment!! ♻️,"London, England",bev11n,0,0,2021-03-30 20:43:54
11,@KateBennett_DC People don’t realize it takes time for animals to get used to new environments. The White House is HUGE. It’ll take a LONG time for them to adapt to the new environment. Bad behavior such as this is natural in animals as such,,Metalshaymin_RL,0,0,2021-03-30 20:43:53
12,"BWAHAHAHA 
Diversity Program at U. Michigan Accused of Having Toxic Work Environment https://t.co/3EjfOt5Cy6",Front Range of CO Rockies,Taxpayers1234,0,0,2021-03-30 20:43:49
13,@timescolonist Omg...eff off and let Telus build their building....this one building is not going to sink the environment.  Please don’t handcuff Victoria....go pick on some other city trying to build buildings,,Gilligan1131,0,0,2021-03-30 20:43:47
14,"@TonyMurega an @NYS_Ke CANNABIS industry would create employment, reverse climate change, reduce debt, reduce tax, kill tenderprenuership etc

all in 10yrs

disband kazi mtaani, youthfund, stawi, AGPO, @KenyaCIC, prison's enterprise etc &amp; do this

 @MoICTKenya @TransportKE @Environment_Ke https://t.co/R6fu3fkLzk",,DehMao,0,0,2021-03-30 20:43:42
15,"@Laird37712470 @LBC @DanBevJourno FFP3, I believe, is marginally better than the FFP2, but really only in a clinical environment and training. They are immunised now but in the first wave were working with only surgical mask and flimsy plastic aprons. They do still not have FFP2 masks for themselves or patients",,DarrenG12176297,0,0,2021-03-30 20:43:39
16,"@prestonjlamb @fmalcher01 This is what I'm currently doing

https://t.co/G3GEbLX9ru

And

https://t.co/HrNEZ9zSt0

Deploying on Netlify",🚀🏙️,brandontroberts,0,0,2021-03-30 20:43:30
17,"@KateBennett_DC Poor pup, needs a less busy environment. Herding/protection dog, and all that activity is a lot for them to handle.

The Bidens could either hire a full time dog sitter/walker who keeps Major with her and out of stressful situations, or let him live in a quieter household.",The Wilder West,genteelhart,0,0,2021-03-30 20:43:28
18,"@SplatEsse @EmmaVigeland They don’t have to be, you don’t care at all about the environment do you?","Chillicothe, MO",2019mposey,0,0,2021-03-30 20:43:26
19,"@ltgrusselhonore @hammondlastar Damn shame and no help from Sen OilShill CassiDixiecrat who is too busy courting the favors/$$ of the Fossil fuel industry which exploits our environment/resources,makes us ill and contributes 0 to local infrastructure. Our health is no priority for Dr. Shill.","New Orleans, LA",BijouNitsch,0,0,2021-03-30 20:43:25
20,The privileged Brits &amp; every other 1st worlder needs to change. It's as simple as that. https://t.co/ilde8oQawC,"Earth, pale blue dot, 1 planet",JunagarhMedia,0,0,2021-03-30 20:43:22
21,"@ouinne also haven't they said the dogs aren't trained at all? 

what a terrible environment for a german shepherd (all dogs need to be trained to some degree, some need it a lot more than others to be safe and happy)",,collectdust,0,1,2021-03-30 20:43:20
22,sometimes you just gotta outgrow your environment,"Alberta, Canada",polo_keys,0,0,2021-03-30 20:43:18
23,"@FLDEPNews “Coordinating with stakeholders”? In other words, effing over the environment in the name of big business? Do your *jobs* &amp; protect the #environment. This is an unacceptable solution. Find another way than #poisoning our Bay. (@VernBuchanan - do something!)",United States,kkblaze,0,0,2021-03-30 20:43:04
24,"I feel like I’ve gotten a handle on optimizing environment elements for games and now it’s time to learn blueprints and shader creation and put it into practice. Going out of my comfort zone and doing an outdoor, stylized, playable (hopefully) environment. Let’s give this a go.",,Shanee223,0,0,2021-03-30 20:42:57
25,And in an almost universally sympathetic media environment. Imagine how it would be if he was getting smeared daily from all sides https://t.co/pL2HPTgxs9,"Wedding, Berlin",Alexgriffiths,0,0,2021-03-30 20:42:42
26,"@SplatEsse @EmmaVigeland It’s bad for the environment. Protecting the environment is the job of the government too. Call it what you want but I’m glad the US has standards like you can’t dump waste were you want, you have to be connected to a sewer system. Is that authoritarian too?","Chillicothe, MO",2019mposey,0,0,2021-03-30 20:42:41
27,@isobelroe Dan Tehan on ABC just now blaming the states?! Come on now this is beyond insane. What do the Feds do?!! Other than make women feel less respected in an already clearly unsafe environment,"Woollahra, Sydney",AldridgeHenry,0,0,2021-03-30 20:42:32
28,"""Environmental DNA, or eDNA, can help identify who’s in a river, stream or creek. Now, it’s helping scientists learn how threatened salmon and trout adapt to a changing environment"": https://t.co/7LdX1QKLsB","Portland, OR",kettlemoraine,0,0,2021-03-30 20:42:28
29,"@CovidWomenVoice @DorothyBreen2 @NWCI @GColleranMD @aoibhinn_ni_s @niamh_dr @newschambers @SAFEIreland @marietcasey So I agree completely with everything and everybody here (not like me haha, but this is that bad). The only thing I want to add... Maybe that’s  why we need to elect more women the next time. And I know we need more women to run and for the environment to enable them etc.","Dublin City, Ireland",Enida_Friel,1,1,2021-03-30 20:42:27
30,i just quit my job bc of the hostile work environment then another job opened coincidentally for a nail salon 🥰🥰🥰🥰🥰🥰🥰💕💕💕,tx,haliereyess,0,0,2021-03-30 20:42:23
31,"“NFTs aren’t as bad as other things that ruin the environment so who cares?”

You’d rather contribute to this trash than at least TRY to reduce it???",Soup,TheBenturion,0,0,2021-03-30 20:42:20
32,"@Breaking911 the domesticated dog behaves in an anxious manner when in a abusive environment.
Basically, Biden and his employees could be abusing the dog.",,jayRNair,0,0,2021-03-30 20:42:19
33,"We are looking for instructors nationwide.

Would you take action for the environment?

Would you be a part of the frontline advocates for climate changein Nigeria?

Let me know in the comments. Details will be shared tomorow.

Attached are climate change books i have authored...",Global,GloryOguegbu,0,1,2021-03-30 20:42:15
34,Corals may need their predators' excrement #environment via: @sciencedaily https://t.co/vKqG1L5pO1,,TRVST_Env,0,0,2021-03-30 20:42:11
35,God provides ONLY the Seed. The fruit comes after the seed goes through the right environment and conditions.,,JohnKambole199,0,0,2021-03-30 20:42:11
36,China accounted for half of coal-fired electricity in 2020: report https://t.co/gwnvAXBgXx China won't likely stop building coal fired power plants I don't think they believe in man made climate change and we shouldn't ether.,,bruce_schlink,0,0,2021-03-30 20:42:09
37,"Let's take a look at the relationship of Average Days on Market to Inventory. If you're curious about how this affects our real estate environment, don't hesitate to reach out.

Tracy Hinterman, REALTOR, GRI, CRS https://t.co/AfP7okJZpo https://t.co/enD271QNtp","Texas, USA",HandygalTracy,0,0,2021-03-30 20:42:08
38,It’s not his fault tbh. He’s overwhelmed by the environment and there are just too many strangers coming and going. https://t.co/QebF09bNKF,"Atlanta, GA",admitchellGA,0,0,2021-03-30 20:42:00
39,"Is there any non-hacky way to find out what the current foreground color is in SwiftUI? @Environment(\.foregroundColor) is not allowed, apparently. 🙂","Stockholm, Sweden",memfrag,0,0,2021-03-30 20:41:58
40,"Poor Major. This environment isn't good for him at all.

President Biden's Dog Major Has Another Biting Incident https://t.co/z7yBYKUyjq","Georgia, USA",bazylitch,0,0,2021-03-30 20:41:53
41,"@sislinchu DLM, seems you have been under big pressure at your new position, it could just be a teething problem or it could be the environment actually you cannot cope with. If it's the later one, quit it then.",,CurryBeef3,0,0,2021-03-30 20:41:53
42,He’s a dog. In a stressful environment. Dogs bite people. https://t.co/29D1SDVa7B,,DavidBenjaminF,0,0,2021-03-30 20:41:49
43,"@MollyJongFast Poor baby💔💔💔

He’s just nervous n flustered by all these strange people coming n going in a new place!!

He needs time patience love n support in a controlled, STABLE environment.

Hope Bidens provide that for him, Major just wants a place n people to call his❤️",,leateafly,0,0,2021-03-30 20:41:46
44,"i’m sooooo fucking sickened by this saweetie shit.

imma be real with y’all. you can say whatever the fuck you want, but I KNEW QUAVO WAS TRASH BC LOOK AT THE ENVIRONMENT AND CULTURE. y’all think cardi is “crazy” for going back and forth with offset??",nyc,mounapdf,0,0,2021-03-30 20:41:40
